,body,character,glider,tire,Speed Ground,Speed Water,Speed Air,Speed Anti-Gravity,Acceleration,Weight,Handling Ground,Handling Water,Handling Air,Handling Anti-Gravity,Traction,MiniTurbo,Invincibility
27,1,1,2,14,2.0,2.25,3.0,2.25,4.25,1.5,4.75,4.0,5.25,4.75,4.5,5.0,4.25
28,1,1,3,1,2.5,2.5,3.0,2.5,4.0,2.25,5.0,4.75,5.0,4.75,4.0,4.5,4.0
29,1,1,3,2,2.5,2.5,3.0,2.5,4.0,2.25,5.0,4.75,5.0,4.75,4.0,4.5,4.25
30,1,1,3,3,2.5,2.25,2.5,2.5,3.5,2.75,4.25,4.25,4.5,4.0,4.5,4.25,4.5
31,1,1,3,4,2.5,2.25,2.5,2.5,3.5,2.75,4.25,4.25,4.5,4.0,4.5,4.25,4.25
32,1,1,3,5,2.0,2.5,3.0,2.0,4.5,1.75,5.25,5.0,5.25,5.0,3.75,5.0,3.25
33,1,1,3,6,2.75,2.25,2.75,3.0,3.5,2.25,5.25,5.0,5.25,4.75,3.0,4.25,4.25
34,1,1,3,7,3.0,1.75,2.25,3.0,3.25,2.5,4.75,4.0,4.5,4.5,2.75,3.75,4.25
35,1,1,3,8,3.0,2.5,2.75,2.25,3.0,2.75,4.75,4.5,4.25,4.25,3.25,3.75,4.5
36,1,1,3,9,3.0,2.5,2.75,2.25,3.0,2.75,4.75,4.5,4.25,4.25,3.25,3.75,4.25
37,1,1,3,10,2.25,2.25,2.75,2.5,4.25,1.75,5.0,4.75,4.75,5.0,3.5,4.75,3.75
38,1,1,3,11,2.75,2.75,2.5,2.5,3.75,2.5,4.5,4.25,4.75,4.5,4.25,4.0,4.75
39,1,1,3,12,2.75,2.75,2.5,2.5,3.75,2.5,4.5,4.25,4.75,4.5,4.25,4.0,4.5
40,1,1,3,13,2.25,2.0,3.25,2.25,4.0,2.0,4.75,4.25,5.0,4.5,4.25,4.75,4.0
41,1,1,3,14,2.25,2.0,3.25,2.25,4.0,2.0,4.75,4.25,5.0,4.5,4.25,4.75,4.5
42,1,1,4,1,2.25,2.5,2.75,2.5,4.25,2.0,5.0,4.75,5.25,4.75,4.0,4.75,3.75
43,1,1,4,2,2.25,2.5,2.75,2.5,4.25,2.0,5.0,4.75,5.25,4.75,4.0,4.75,4.0
44,1,1,4,3,2.25,2.25,2.25,2.5,3.75,2.5,4.25,4.25,4.75,4.0,4.5,4.5,4.25
45,1,1,4,4,2.25,2.25,2.25,2.5,3.75,2.5,4.25,4.25,4.75,4.0,4.5,4.5,4.0
46,1,1,4,5,1.75,2.5,2.75,2.0,4.75,1.5,5.25,5.0,5.5,5.0,3.75,5.25,3.0
47,1,1,4,6,2.5,2.25,2.5,3.0,3.75,2.0,5.25,5.0,5.5,4.75,3.0,4.5,4.0
48,1,1,4,7,2.75,1.75,2.0,3.0,3.5,2.25,4.75,4.0,4.75,4.5,2.75,4.0,4.0
49,1,1,4,8,2.75,2.5,2.5,2.25,3.25,2.5,4.75,4.5,4.5,4.25,3.25,4.0,4.25
50,1,1,4,9,2.75,2.5,2.5,2.25,3.25,2.5,4.75,4.5,4.5,4.25,3.25,4.0,4.0
51,1,1,4,10,2.0,2.25,2.5,2.5,4.5,1.5,5.0,4.75,5.0,5.0,3.5,5.0,3.5
52,1,1,4,11,2.5,2.75,2.25,2.5,4.0,2.25,4.5,4.25,5.0,4.5,4.25,4.25,4.5
53,1,1,4,12,2.5,2.75,2.25,2.5,4.0,2.25,4.5,4.25,5.0,4.5,4.25,4.25,4.25
54,1,1,4,13,2.0,2.0,3.0,2.25,4.25,1.75,4.75,4.25,5.25,4.5,4.25,5.0,3.75
55,1,1,4,14,2.0,2.0,3.0,2.25,4.25,1.75,4.75,4.25,5.25,4.5,4.25,5.0,4.25
56,1,2,1,1,2.5,2.75,3.0,2.25,4.25,2.0,4.75,4.25,4.75,4.75,3.75,4.5,4.0
57,1,2,1,2,2.5,2.75,3.0,2.25,4.25,2.0,4.75,4.25,4.75,4.75,3.75,4.5,4.25
58,1,2,1,3,2.5,2.5,2.5,2.25,3.75,2.5,4.0,3.75,4.25,4.0,4.25,4.25,4.5
59,1,2,1,4,2.5,2.5,2.5,2.25,3.75,2.5,4.0,3.75,4.25,4.0,4.25,4.25,4.25
60,1,2,1,5,2.0,2.75,3.0,1.75,4.75,1.5,5.0,4.5,5.0,5.0,3.5,5.0,3.25
61,1,2,1,6,2.75,2.5,2.75,2.75,3.75,2.0,5.0,4.5,5.0,4.75,2.75,4.25,4.25
62,1,2,1,7,3.0,2.0,2.25,2.75,3.5,2.25,4.5,3.5,4.25,4.5,2.5,3.75,4.25
63,1,2,1,8,3.0,2.75,2.75,2.0,3.25,2.5,4.5,4.0,4.0,4.25,3.0,3.75,4.5
64,1,2,1,9,3.0,2.75,2.75,2.0,3.25,2.5,4.5,4.0,4.0,4.25,3.0,3.75,4.25
65,1,2,1,10,2.25,2.5,2.75,2.25,4.5,1.5,4.75,4.25,4.5,5.0,3.25,4.75,3.75
66,1,2,1,11,2.75,3.0,2.5,2.25,4.0,2.25,4.25,3.75,4.5,4.5,4.0,4.0,4.75
67,1,2,1,12,2.75,3.0,2.5,2.25,4.0,2.25,4.25,3.75,4.5,4.5,4.0,4.0,4.5
68,1,2,1,13,2.25,2.25,3.25,2.0,4.25,1.75,4.5,3.75,4.75,4.5,4.0,4.75,4.0
69,1,2,1,14,2.25,2.25,3.25,2.0,4.25,1.75,4.5,3.75,4.75,4.5,4.0,4.75,4.5
70,1,2,2,1,2.25,2.75,2.75,2.5,4.5,1.75,4.75,4.25,5.0,4.75,3.75,4.75,3.75
71,1,2,2,2,2.25,2.75,2.75,2.5,4.5,1.75,4.75,4.25,5.0,4.75,3.75,4.75,4.0
72,1,2,2,3,2.25,2.5,2.25,2.5,4.0,2.25,4.0,3.75,4.5,4.0,4.25,4.5,4.25
73,1,2,2,4,2.25,2.5,2.25,2.5,4.0,2.25,4.0,3.75,4.5,4.0,4.25,4.5,4.0
74,1,2,2,5,1.75,2.75,2.75,2.0,5.0,1.25,5.0,4.5,5.25,5.0,3.5,5.25,3.0
75,1,2,2,6,2.5,2.5,2.5,3.0,4.0,1.75,5.0,4.5,5.25,4.75,2.75,4.5,4.0
76,1,2,2,7,2.75,2.0,2.0,3.0,3.75,2.0,4.5,3.5,4.5,4.5,2.5,4.0,4.0
77,1,2,2,8,2.75,2.75,2.5,2.25,3.5,2.25,4.5,4.0,4.25,4.25,3.0,4.0,4.25
78,1,2,2,9,2.75,2.75,2.5,2.25,3.5,2.25,4.5,4.0,4.25,4.25,3.0,4.0,4.0
79,1,2,2,10,2.0,2.5,2.5,2.5,4.75,1.25,4.75,4.25,4.75,5.0,3.25,5.0,3.5
80,1,2,2,11,2.5,3.0,2.25,2.5,4.25,2.0,4.25,3.75,4.75,4.5,4.0,4.25,4.5
81,1,2,2,12,2.5,3.0,2.25,2.5,4.25,2.0,4.25,3.75,4.75,4.5,4.0,4.25,4.25
82,1,2,2,13,2.0,2.25,3.0,2.25,4.5,1.5,4.5,3.75,5.0,4.5,4.0,5.0,3.75
83,1,2,2,14,2.0,2.25,3.0,2.25,4.5,1.5,4.5,3.75,5.0,4.5,4.0,5.0,4.25
84,1,2,3,1,2.5,2.5,3.0,2.5,4.25,2.25,4.75,4.5,4.75,4.5,3.5,4.5,4.0
85,1,2,3,2,2.5,2.5,3.0,2.5,4.25,2.25,4.75,4.5,4.75,4.5,3.5,4.5,4.25
86,1,2,3,3,2.5,2.25,2.5,2.5,3.75,2.75,4.0,4.0,4.25,3.75,4.0,4.25,4.5
87,1,2,3,4,2.5,2.25,2.5,2.5,3.75,2.75,4.0,4.0,4.25,3.75,4.0,4.25,4.25
88,1,2,3,5,2.0,2.5,3.0,2.0,4.75,1.75,5.0,4.75,5.0,4.75,3.25,5.0,3.25
89,1,2,3,6,2.75,2.25,2.75,3.0,3.75,2.25,5.0,4.75,5.0,4.5,2.5,4.25,4.25
90,1,2,3,7,3.0,1.75,2.25,3.0,3.5,2.5,4.5,3.75,4.25,4.25,2.25,3.75,4.25
91,1,2,3,8,3.0,2.5,2.75,2.25,3.25,2.75,4.5,4.25,4.0,4.0,2.75,3.75,4.5
92,1,2,3,9,3.0,2.5,2.75,2.25,3.25,2.75,4.5,4.25,4.0,4.0,2.75,3.75,4.25
93,1,2,3,10,2.25,2.25,2.75,2.5,4.5,1.75,4.75,4.5,4.5,4.75,3.0,4.75,3.75
94,1,2,3,11,2.75,2.75,2.5,2.5,4.0,2.5,4.25,4.0,4.5,4.25,3.75,4.0,4.75
95,1,2,3,12,2.75,2.75,2.5,2.5,4.0,2.5,4.25,4.0,4.5,4.25,3.75,4.0,4.5
96,1,2,3,13,2.25,2.0,3.25,2.25,4.25,2.0,4.5,4.0,4.75,4.25,3.75,4.75,4.0
97,1,2,3,14,2.25,2.0,3.25,2.25,4.25,2.0,4.5,4.0,4.75,4.25,3.75,4.75,4.5
98,1,2,4,1,2.25,2.5,2.75,2.5,4.5,2.0,4.75,4.5,5.0,4.5,3.5,4.75,3.75
99,1,2,4,2,2.25,2.5,2.75,2.5,4.5,2.0,4.75,4.5,5.0,4.5,3.5,4.75,4.0
100,1,2,4,3,2.25,2.25,2.25,2.5,4.0,2.5,4.0,4.0,4.5,3.75,4.0,4.5,4.25
101,1,2,4,4,2.25,2.25,2.25,2.5,4.0,2.5,4.0,4.0,4.5,3.75,4.0,4.5,4.0
102,1,2,4,5,1.75,2.5,2.75,2.0,5.0,1.5,5.0,4.75,5.25,4.75,3.25,5.25,3.0
103,1,2,4,6,2.5,2.25,2.5,3.0,4.0,2.0,5.0,4.75,5.25,4.5,2.5,4.5,4.0
104,1,2,4,7,2.75,1.75,2.0,3.0,3.75,2.25,4.5,3.75,4.5,4.25,2.25,4.0,4.0
105,1,2,4,8,2.75,2.5,2.5,2.25,3.5,2.5,4.5,4.25,4.25,4.0,2.75,4.0,4.25
106,1,2,4,9,2.75,2.5,2.5,2.25,3.5,2.5,4.5,4.25,4.25,4.0,2.75,4.0,4.0
107,1,2,4,10,2.0,2.25,2.5,2.5,4.75,1.5,4.75,4.5,4.75,4.75,3.0,5.0,3.5
108,1,2,4,11,2.5,2.75,2.25,2.5,4.25,2.25,4.25,4.0,4.75,4.25,3.75,4.25,4.5
109,1,2,4,12,2.5,2.75,2.25,2.5,4.25,2.25,4.25,4.0,4.75,4.25,3.75,4.25,4.25
110,1,2,4,13,2.0,2.0,3.0,2.25,4.5,1.75,4.5,4.0,5.0,4.25,3.75,5.0,3.75
111,1,2,4,14,2.0,2.0,3.0,2.25,4.5,1.75,4.5,4.0,5.0,4.25,3.75,5.0,4.25
112,1,3,1,1,2.75,3.0,3.25,2.5,4.25,2.25,4.5,4.0,4.5,4.5,4.0,4.5,4.0
113,1,3,1,2,2.75,3.0,3.25,2.5,4.25,2.25,4.5,4.0,4.5,4.5,4.0,4.5,4.25
114,1,3,1,3,2.75,2.75,2.75,2.5,3.75,2.75,3.75,3.5,4.0,3.75,4.5,4.25,4.5
115,1,3,1,4,2.75,2.75,2.75,2.5,3.75,2.75,3.75,3.5,4.0,3.75,4.5,4.25,4.25
116,1,3,1,5,2.25,3.0,3.25,2.0,4.75,1.75,4.75,4.25,4.75,4.75,3.75,5.0,3.25
117,1,3,1,6,3.0,2.75,3.0,3.0,3.75,2.25,4.75,4.25,4.75,4.5,3.0,4.25,4.25
118,1,3,1,7,3.25,2.25,2.5,3.0,3.5,2.5,4.25,3.25,4.0,4.25,2.75,3.75,4.25
119,1,3,1,8,3.25,3.0,3.0,2.25,3.25,2.75,4.25,3.75,3.75,4.0,3.25,3.75,4.5
120,1,3,1,9,3.25,3.0,3.0,2.25,3.25,2.75,4.25,3.75,3.75,4.0,3.25,3.75,4.25
121,1,3,1,10,2.5,2.75,3.0,2.5,4.5,1.75,4.5,4.0,4.25,4.75,3.5,4.75,3.75
122,1,3,1,11,3.0,3.25,2.75,2.5,4.0,2.5,4.0,3.5,4.25,4.25,4.25,4.0,4.75
123,1,3,1,12,3.0,3.25,2.75,2.5,4.0,2.5,4.0,3.5,4.25,4.25,4.25,4.0,4.5
124,1,3,1,13,2.5,2.5,3.5,2.25,4.25,2.0,4.25,3.5,4.5,4.25,4.25,4.75,4.0
125,1,3,1,14,2.5,2.5,3.5,2.25,4.25,2.0,4.25,3.5,4.5,4.25,4.25,4.75,4.5
126,1,3,2,1,2.5,3.0,3.0,2.75,4.5,2.0,4.5,4.0,4.75,4.5,4.0,4.75,3.75
127,1,3,2,2,2.5,3.0,3.0,2.75,4.5,2.0,4.5,4.0,4.75,4.5,4.0,4.75,4.0
128,1,3,2,3,2.5,2.75,2.5,2.75,4.0,2.5,3.75,3.5,4.25,3.75,4.5,4.5,4.25
129,1,3,2,4,2.5,2.75,2.5,2.75,4.0,2.5,3.75,3.5,4.25,3.75,4.5,4.5,4.0
130,1,3,2,5,2.0,3.0,3.0,2.25,5.0,1.5,4.75,4.25,5.0,4.75,3.75,5.25,3.0
131,1,3,2,6,2.75,2.75,2.75,3.25,4.0,2.0,4.75,4.25,5.0,4.5,3.0,4.5,4.0
132,1,3,2,7,3.0,2.25,2.25,3.25,3.75,2.25,4.25,3.25,4.25,4.25,2.75,4.0,4.0
133,1,3,2,8,3.0,3.0,2.75,2.5,3.5,2.5,4.25,3.75,4.0,4.0,3.25,4.0,4.25
134,1,3,2,9,3.0,3.0,2.75,2.5,3.5,2.5,4.25,3.75,4.0,4.0,3.25,4.0,4.0
135,1,3,2,10,2.25,2.75,2.75,2.75,4.75,1.5,4.5,4.0,4.5,4.75,3.5,5.0,3.5
136,1,3,2,11,2.75,3.25,2.5,2.75,4.25,2.25,4.0,3.5,4.5,4.25,4.25,4.25,4.5
137,1,3,2,12,2.75,3.25,2.5,2.75,4.25,2.25,4.0,3.5,4.5,4.25,4.25,4.25,4.25
138,1,3,2,13,2.25,2.5,3.25,2.5,4.5,1.75,4.25,3.5,4.75,4.25,4.25,5.0,3.75
139,1,3,2,14,2.25,2.5,3.25,2.5,4.5,1.75,4.25,3.5,4.75,4.25,4.25,5.0,4.25
140,1,3,3,1,2.75,2.75,3.25,2.75,4.25,2.5,4.5,4.25,4.5,4.25,3.75,4.5,4.0
141,1,3,3,2,2.75,2.75,3.25,2.75,4.25,2.5,4.5,4.25,4.5,4.25,3.75,4.5,4.25
142,1,3,3,3,2.75,2.5,2.75,2.75,3.75,3.0,3.75,3.75,4.0,3.5,4.25,4.25,4.5
143,1,3,3,4,2.75,2.5,2.75,2.75,3.75,3.0,3.75,3.75,4.0,3.5,4.25,4.25,4.25
144,1,3,3,5,2.25,2.75,3.25,2.25,4.75,2.0,4.75,4.5,4.75,4.5,3.5,5.0,3.25
145,1,3,3,6,3.0,2.5,3.0,3.25,3.75,2.5,4.75,4.5,4.75,4.25,2.75,4.25,4.25
146,1,3,3,7,3.25,2.0,2.5,3.25,3.5,2.75,4.25,3.5,4.0,4.0,2.5,3.75,4.25
147,1,3,3,8,3.25,2.75,3.0,2.5,3.25,3.0,4.25,4.0,3.75,3.75,3.0,3.75,4.5
148,1,3,3,9,3.25,2.75,3.0,2.5,3.25,3.0,4.25,4.0,3.75,3.75,3.0,3.75,4.25
149,1,3,3,10,2.5,2.5,3.0,2.75,4.5,2.0,4.5,4.25,4.25,4.5,3.25,4.75,3.75
150,1,3,3,11,3.0,3.0,2.75,2.75,4.0,2.75,4.0,3.75,4.25,4.0,4.0,4.0,4.75
151,1,3,3,12,3.0,3.0,2.75,2.75,4.0,2.75,4.0,3.75,4.25,4.0,4.0,4.0,4.5
152,1,3,3,13,2.5,2.25,3.5,2.5,4.25,2.25,4.25,3.75,4.5,4.0,4.0,4.75,4.0
153,1,3,3,14,2.5,2.25,3.5,2.5,4.25,2.25,4.25,3.75,4.5,4.0,4.0,4.75,4.5
154,1,3,4,1,2.5,2.75,3.0,2.75,4.5,2.25,4.5,4.25,4.75,4.25,3.75,4.75,3.75
155,1,3,4,2,2.5,2.75,3.0,2.75,4.5,2.25,4.5,4.25,4.75,4.25,3.75,4.75,4.0
156,1,3,4,3,2.5,2.5,2.5,2.75,4.0,2.75,3.75,3.75,4.25,3.5,4.25,4.5,4.25
157,1,3,4,4,2.5,2.5,2.5,2.75,4.0,2.75,3.75,3.75,4.25,3.5,4.25,4.5,4.0
158,1,3,4,5,2.0,2.75,3.0,2.25,5.0,1.75,4.75,4.5,5.0,4.5,3.5,5.25,3.0
159,1,3,4,6,2.75,2.5,2.75,3.25,4.0,2.25,4.75,4.5,5.0,4.25,2.75,4.5,4.0
160,1,3,4,7,3.0,2.0,2.25,3.25,3.75,2.5,4.25,3.5,4.25,4.0,2.5,4.0,4.0
161,1,3,4,8,3.0,2.75,2.75,2.5,3.5,2.75,4.25,4.0,4.0,3.75,3.0,4.0,4.25
162,1,3,4,9,3.0,2.75,2.75,2.5,3.5,2.75,4.25,4.0,4.0,3.75,3.0,4.0,4.0
163,1,3,4,10,2.25,2.5,2.75,2.75,4.75,1.75,4.5,4.25,4.5,4.5,3.25,5.0,3.5
164,1,3,4,11,2.75,3.0,2.5,2.75,4.25,2.5,4.0,3.75,4.5,4.0,4.0,4.25,4.5
165,1,3,4,12,2.75,3.0,2.5,2.75,4.25,2.5,4.0,3.75,4.5,4.0,4.0,4.25,4.25
166,1,3,4,13,2.25,2.25,3.25,2.5,4.5,2.0,4.25,3.75,4.75,4.0,4.0,5.0,3.75
167,1,3,4,14,2.25,2.25,3.25,2.5,4.5,2.0,4.25,3.75,4.75,4.0,4.0,5.0,4.25
168,1,4,1,1,3.0,3.25,3.5,2.75,4.25,2.5,4.25,3.75,4.25,4.25,3.5,4.25,3.75
169,1,4,1,2,3.0,3.25,3.5,2.75,4.25,2.5,4.25,3.75,4.25,4.25,3.5,4.25,4.0
170,1,4,1,3,3.0,3.0,3.0,2.75,3.75,3.0,3.5,3.25,3.75,3.5,4.0,4.0,4.25
171,1,4,1,4,3.0,3.0,3.0,2.75,3.75,3.0,3.5,3.25,3.75,3.5,4.0,4.0,4.0
172,1,4,1,5,2.5,3.25,3.5,2.25,4.75,2.0,4.5,4.0,4.5,4.5,3.25,4.75,3.0
173,1,4,1,6,3.25,3.0,3.25,3.25,3.75,2.5,4.5,4.0,4.5,4.25,2.5,4.0,4.0
174,1,4,1,7,3.5,2.5,2.75,3.25,3.5,2.75,4.0,3.0,3.75,4.0,2.25,3.5,4.0
175,1,4,1,8,3.5,3.25,3.25,2.5,3.25,3.0,4.0,3.5,3.5,3.75,2.75,3.5,4.25
176,1,4,1,9,3.5,3.25,3.25,2.5,3.25,3.0,4.0,3.5,3.5,3.75,2.75,3.5,4.0
177,1,4,1,10,2.75,3.0,3.25,2.75,4.5,2.0,4.25,3.75,4.0,4.5,3.0,4.5,3.5
178,1,4,1,11,3.25,3.5,3.0,2.75,4.0,2.75,3.75,3.25,4.0,4.0,3.75,3.75,4.5
179,1,4,1,12,3.25,3.5,3.0,2.75,4.0,2.75,3.75,3.25,4.0,4.0,3.75,3.75,4.25
180,1,4,1,13,2.75,2.75,3.75,2.5,4.25,2.25,4.0,3.25,4.25,4.0,3.75,4.5,3.75
181,1,4,1,14,2.75,2.75,3.75,2.5,4.25,2.25,4.0,3.25,4.25,4.0,3.75,4.5,4.25
182,1,4,2,1,2.75,3.25,3.25,3.0,4.5,2.25,4.25,3.75,4.5,4.25,3.5,4.5,3.5
183,1,4,2,2,2.75,3.25,3.25,3.0,4.5,2.25,4.25,3.75,4.5,4.25,3.5,4.5,3.75
184,1,4,2,3,2.75,3.0,2.75,3.0,4.0,2.75,3.5,3.25,4.0,3.5,4.0,4.25,4.0
185,1,4,2,4,2.75,3.0,2.75,3.0,4.0,2.75,3.5,3.25,4.0,3.5,4.0,4.25,3.75
186,1,4,2,5,2.25,3.25,3.25,2.5,5.0,1.75,4.5,4.0,4.75,4.5,3.25,5.0,2.75
187,1,4,2,6,3.0,3.0,3.0,3.5,4.0,2.25,4.5,4.0,4.75,4.25,2.5,4.25,3.75
188,1,4,2,7,3.25,2.5,2.5,3.5,3.75,2.5,4.0,3.0,4.0,4.0,2.25,3.75,3.75
189,1,4,2,8,3.25,3.25,3.0,2.75,3.5,2.75,4.0,3.5,3.75,3.75,2.75,3.75,4.0
190,1,4,2,9,3.25,3.25,3.0,2.75,3.5,2.75,4.0,3.5,3.75,3.75,2.75,3.75,3.75
191,1,4,2,10,2.5,3.0,3.0,3.0,4.75,1.75,4.25,3.75,4.25,4.5,3.0,4.75,3.25
192,1,4,2,11,3.0,3.5,2.75,3.0,4.25,2.5,3.75,3.25,4.25,4.0,3.75,4.0,4.25
193,1,4,2,12,3.0,3.5,2.75,3.0,4.25,2.5,3.75,3.25,4.25,4.0,3.75,4.0,4.0
194,1,4,2,13,2.5,2.75,3.5,2.75,4.5,2.0,4.0,3.25,4.5,4.0,3.75,4.75,3.5
195,1,4,2,14,2.5,2.75,3.5,2.75,4.5,2.0,4.0,3.25,4.5,4.0,3.75,4.75,4.0
196,1,4,3,1,3.0,3.0,3.5,3.0,4.25,2.75,4.25,4.0,4.25,4.0,3.25,4.25,3.75
197,1,4,3,2,3.0,3.0,3.5,3.0,4.25,2.75,4.25,4.0,4.25,4.0,3.25,4.25,4.0
198,1,4,3,3,3.0,2.75,3.0,3.0,3.75,3.25,3.5,3.5,3.75,3.25,3.75,4.0,4.25
199,1,4,3,4,3.0,2.75,3.0,3.0,3.75,3.25,3.5,3.5,3.75,3.25,3.75,4.0,4.0
200,1,4,3,5,2.5,3.0,3.5,2.5,4.75,2.25,4.5,4.25,4.5,4.25,3.0,4.75,3.0
201,1,4,3,6,3.25,2.75,3.25,3.5,3.75,2.75,4.5,4.25,4.5,4.0,2.25,4.0,4.0
202,1,4,3,7,3.5,2.25,2.75,3.5,3.5,3.0,4.0,3.25,3.75,3.75,2.0,3.5,4.0
203,1,4,3,8,3.5,3.0,3.25,2.75,3.25,3.25,4.0,3.75,3.5,3.5,2.5,3.5,4.25
204,1,4,3,9,3.5,3.0,3.25,2.75,3.25,3.25,4.0,3.75,3.5,3.5,2.5,3.5,4.0
205,1,4,3,10,2.75,2.75,3.25,3.0,4.5,2.25,4.25,4.0,4.0,4.25,2.75,4.5,3.5
206,1,4,3,11,3.25,3.25,3.0,3.0,4.0,3.0,3.75,3.5,4.0,3.75,3.5,3.75,4.5
207,1,4,3,12,3.25,3.25,3.0,3.0,4.0,3.0,3.75,3.5,4.0,3.75,3.5,3.75,4.25
208,1,4,3,13,2.75,2.5,3.75,2.75,4.25,2.5,4.0,3.5,4.25,3.75,3.5,4.5,3.75
209,1,4,3,14,2.75,2.5,3.75,2.75,4.25,2.5,4.0,3.5,4.25,3.75,3.5,4.5,4.25
210,1,4,4,1,2.75,3.0,3.25,3.0,4.5,2.5,4.25,4.0,4.5,4.0,3.25,4.5,3.5
211,1,4,4,2,2.75,3.0,3.25,3.0,4.5,2.5,4.25,4.0,4.5,4.0,3.25,4.5,3.75
212,1,4,4,3,2.75,2.75,2.75,3.0,4.0,3.0,3.5,3.5,4.0,3.25,3.75,4.25,4.0
213,1,4,4,4,2.75,2.75,2.75,3.0,4.0,3.0,3.5,3.5,4.0,3.25,3.75,4.25,3.75
214,1,4,4,5,2.25,3.0,3.25,2.5,5.0,2.0,4.5,4.25,4.75,4.25,3.0,5.0,2.75
215,1,4,4,6,3.0,2.75,3.0,3.5,4.0,2.5,4.5,4.25,4.75,4.0,2.25,4.25,3.75
216,1,4,4,7,3.25,2.25,2.5,3.5,3.75,2.75,4.0,3.25,4.0,3.75,2.0,3.75,3.75
217,1,4,4,8,3.25,3.0,3.0,2.75,3.5,3.0,4.0,3.75,3.75,3.5,2.5,3.75,4.0
218,1,4,4,9,3.25,3.0,3.0,2.75,3.5,3.0,4.0,3.75,3.75,3.5,2.5,3.75,3.75
219,1,4,4,10,2.5,2.75,3.0,3.0,4.75,2.0,4.25,4.0,4.25,4.25,2.75,4.75,3.25
220,1,4,4,11,3.0,3.25,2.75,3.0,4.25,2.75,3.75,3.5,4.25,3.75,3.5,4.0,4.25
221,1,4,4,12,3.0,3.25,2.75,3.0,4.25,2.75,3.75,3.5,4.25,3.75,3.5,4.0,4.0
